Employee ID,Transaction Amount,Transaction Date,Category
EMP_007,104.02,2026-01-01 00:00:00,Meals
EMP_020,108.33,2026-01-01 00:15:00,Meals
EMP_015,385.99,2026-01-01 00:30:00,Office Supplies
EMP_011,142.67,2026-01-01 00:45:00,Hardware
EMP_008,15.01,2026-01-01 01:00:00,Hardware
EMP_007,375.85,2026-01-01 01:15:00,Software
EMP_019,52.8,2026-01-01 01:30:00,Meals
EMP_011,139.28,2026-01-01 01:45:00,Office Supplies
EMP_011,37.14,2026-01-01 02:00:00,Office Supplies
EMP_004,15.17,2026-01-01 02:15:00,Hardware
EMP_008,65.98,2026-01-01 02:30:00,Meals
EMP_003,237.46,2026-01-01 02:45:00,Software
EMP_002,58.77,2026-01-01 03:00:00,Meals
EMP_012,47.29,2026-01-01 03:15:00,Travel
EMP_006,45.87,2026-01-01 03:30:00,Meals
EMP_002,12500.0,2026-01-01 03:45:00,Travel
EMP_001,566.62,2026-02-10 03:14:00,Travel
EMP_012,102.15,2026-02-11 12:00:00,Software
EMP_012,132.23,2026-02-11 12:02:00,Hardware
EMP_017,305.6,2026-02-11 12:04:00,Meals
EMP_010,124.88,2026-02-11 12:06:00,Travel
EMP_016,40.59,2026-01-01 05:15:00,Meals
EMP_015,63.41,2026-01-01 05:30:00,Hardware
EMP_015,65.65,2026-01-01 05:45:00,Hardware
EMP_019,85.95,2026-01-01 06:00:00,Office Supplies
EMP_012,93.48,2026-01-01 06:15:00,Hardware
EMP_020,251.25,2026-01-01 06:30:00,Software
EMP_003,74.48,2026-01-01 06:45:00,Travel
EMP_005,104.73,2026-01-01 07:00:00,Office Supplies
EMP_019,157.11,2026-01-01 07:15:00,Software
EMP_007,81.16,2026-01-01 07:30:00,Meals
EMP_009,281.7,2026-01-01 07:45:00,Travel
EMP_007,142.81,2026-01-01 08:00:00,Hardware
EMP_018,62.23,2026-01-01 08:15:00,Travel
EMP_004,197.8,2026-01-01 08:30:00,Meals
EMP_014,122.5,2026-01-01 08:45:00,Office Supplies
EMP_018,124.68,2026-01-01 09:00:00,Office Supplies
EMP_009,108.4,2026-01-01 09:15:00,Office Supplies
EMP_002,113.08,2026-01-01 09:30:00,Hardware
EMP_020,227.45,2026-01-01 09:45:00,Software
EMP_015,26.3,2026-01-01 10:00:00,Software
EMP_007,71.05,2026-01-01 10:15:00,Travel
EMP_012,21.78,2026-01-01 10:30:00,Hardware
EMP_008,219.9,2026-01-01 10:45:00,Office Supplies
EMP_015,57.68,2026-01-01 11:00:00,Office Supplies
EMP_003,351.58,2026-01-01 11:15:00,Meals
EMP_014,122.17,2026-01-01 11:30:00,Meals
EMP_017,251.98,2026-01-01 11:45:00,Office Supplies
EMP_004,589.0,2026-01-01 12:00:00,Office Supplies
EMP_018,284.69,2026-01-01 12:15:00,Hardware
EMP_008,312.6,2026-01-01 12:30:00,Software
EMP_004,88.63,2026-01-01 12:45:00,Meals
EMP_002,130.35,2026-01-01 13:00:00,Software
EMP_006,53.93,2026-01-01 13:15:00,Hardware
EMP_010,42.74,2026-01-01 13:30:00,Office Supplies
EMP_004,115.63,2026-01-01 13:45:00,Software
EMP_018,145.6,2026-01-01 14:00:00,Office Supplies
EMP_012,72.16,2026-01-01 14:15:00,Office Supplies
EMP_002,136.4,2026-01-01 14:30:00,Travel
EMP_010,337.67,2026-01-01 14:45:00,Software
EMP_004,132.03,2026-01-01 15:00:00,Software
EMP_014,201.38,2026-01-01 15:15:00,Office Supplies
EMP_016,255.46,2026-01-01 15:30:00,Hardware
EMP_015,682.83,2026-01-01 15:45:00,Travel
EMP_008,148.65,2026-01-01 16:00:00,Office Supplies
EMP_014,256.64,2026-01-01 16:15:00,Meals
EMP_008,503.11,2026-01-01 16:30:00,Meals
EMP_016,443.46,2026-01-01 16:45:00,Travel
EMP_013,32.81,2026-01-01 17:00:00,Hardware
EMP_018,88.23,2026-01-01 17:15:00,Office Supplies
EMP_015,68.73,2026-01-01 17:30:00,Software
EMP_013,23.64,2026-01-01 17:45:00,Travel
EMP_009,160.46,2026-01-01 18:00:00,Hardware
EMP_015,209.72,2026-01-01 18:15:00,Software
EMP_013,292.71,2026-01-01 18:30:00,Meals
EMP_001,29.65,2026-01-01 18:45:00,Meals
EMP_007,323.66,2026-01-01 19:00:00,Software
EMP_009,164.47,2026-01-01 19:15:00,Travel
EMP_001,192.58,2026-01-01 19:30:00,Meals
EMP_012,372.24,2026-01-01 19:45:00,Office Supplies
EMP_008,157.03,2026-01-01 20:00:00,Software
EMP_011,71.39,2026-01-01 20:15:00,Software
EMP_019,271.54,2026-01-01 20:30:00,Meals
