employee_id,transaction_amount,transaction_date,risk_score,risk_level,flagged,risk_reason
EMP_012,676.91,2026-01-11 01:15:00,100.0,HIGH,True,Amount significantly higher than employee average; Submitted outside standard business hours; Rapid succession submission (<15 min gap); Logged on a weekend
EMP_002,12500.0,2026-01-01 03:45:00,98.61,HIGH,True,Amount significantly higher than employee average; Submitted outside standard business hours; Unusual daily transaction velocity (5+ in 1 day)
EMP_011,1111.59,2026-01-02 23:15:00,91.72,HIGH,True,Amount significantly higher than employee average; Submitted outside standard business hours
EMP_008,726.72,2026-01-11 04:15:00,85.48,HIGH,True,Amount significantly higher than employee average; Submitted outside standard business hours; Logged on a weekend
EMP_001,566.62,2026-02-10 03:14:00,85.22,HIGH,True,Amount significantly higher than employee average; Submitted outside standard business hours
EMP_003,468.0,2026-01-10 00:15:00,83.31,HIGH,True,Amount significantly higher than employee average; Submitted outside standard business hours; Rapid succession submission (<15 min gap); Logged on a weekend
EMP_004,851.37,2026-01-03 22:30:00,83.21,HIGH,True,Amount significantly higher than employee average; Unusual daily transaction velocity (5+ in 1 day); Logged on a weekend
EMP_001,705.98,2026-01-03 07:30:00,83.13,HIGH,True,Amount significantly higher than employee average; Unusual daily transaction velocity (5+ in 1 day); Logged on a weekend
EMP_005,586.87,2026-01-07 11:15:00,82.94,HIGH,True,Amount significantly higher than employee average; Rapid succession submission (<15 min gap); Unusual daily transaction velocity (5+ in 1 day)
EMP_017,724.72,2026-01-04 05:15:00,81.4,HIGH,True,Amount significantly higher than employee average; Submitted outside standard business hours; Logged on a weekend
EMP_020,689.02,2026-01-03 17:00:00,78.32,HIGH,True,Amount significantly higher than employee average; Unusual daily transaction velocity (5+ in 1 day); Logged on a weekend
EMP_002,58.77,2026-01-01 03:00:00,78.11,HIGH,True,Submitted outside standard business hours; Unusual daily transaction velocity (5+ in 1 day)
EMP_009,819.9,2026-01-09 06:00:00,77.63,HIGH,True,Amount significantly higher than employee average; Unusual daily transaction velocity (5+ in 1 day)
EMP_015,385.99,2026-01-01 00:30:00,76.74,HIGH,True,Submitted outside standard business hours; Unusual daily transaction velocity (5+ in 1 day)
EMP_007,736.77,2026-01-06 13:00:00,76.51,HIGH,True,Amount significantly higher than employee average; Unusual daily transaction velocity (5+ in 1 day)
EMP_006,482.93,2026-01-03 19:45:00,73.73,HIGH,True,Amount significantly higher than employee average; Rapid succession submission (<15 min gap); Logged on a weekend
EMP_008,15.01,2026-01-01 01:00:00,72.45,HIGH,True,Submitted outside standard business hours; Unusual daily transaction velocity (5+ in 1 day)
EMP_005,495.79,2026-01-06 09:00:00,72.24,HIGH,True,Amount significantly higher than employee average; Rapid succession submission (<15 min gap); Unusual daily transaction velocity (5+ in 1 day)
EMP_005,414.54,2026-01-03 08:30:00,71.81,HIGH,True,Rapid succession submission (<15 min gap); Logged on a weekend
EMP_001,29.65,2026-01-01 18:45:00,71.49,HIGH,True,Behavioral profile shows minor statistical anomaly
EMP_005,171.4,2026-01-11 02:30:00,71.03,HIGH,True,Submitted outside standard business hours; Rapid succession submission (<15 min gap); Logged on a weekend
EMP_010,569.4,2026-01-11 08:00:00,70.42,HIGH,True,Amount significantly higher than employee average; Logged on a weekend
EMP_011,142.67,2026-01-01 00:45:00,69.58,MEDIUM,False,Submitted outside standard business hours
EMP_012,643.67,2026-01-01 23:45:00,69.45,MEDIUM,False,Amount significantly higher than employee average; Submitted outside standard business hours; Unusual daily transaction velocity (5+ in 1 day)
EMP_005,104.73,2026-01-01 07:00:00,69.43,MEDIUM,False,Behavioral profile shows minor statistical anomaly
EMP_008,29.48,2026-01-10 01:00:00,69.31,MEDIUM,False,Submitted outside standard business hours; Rapid succession submission (<15 min gap); Unusual daily transaction velocity (5+ in 1 day); Logged on a weekend
EMP_018,62.23,2026-01-01 08:15:00,68.69,MEDIUM,False,Unusual daily transaction velocity (5+ in 1 day)
EMP_017,500.92,2026-01-02 18:30:00,68.55,MEDIUM,False,Amount significantly higher than employee average; Rapid succession submission (<15 min gap); Unusual daily transaction velocity (5+ in 1 day)
EMP_009,657.92,2026-01-07 02:30:00,68.1,MEDIUM,False,Amount significantly higher than employee average; Submitted outside standard business hours
EMP_008,78.07,2026-01-10 04:45:00,67.83,MEDIUM,False,Submitted outside standard business hours; Rapid succession submission (<15 min gap); Unusual daily transaction velocity (5+ in 1 day); Logged on a weekend
EMP_008,186.46,2026-01-10 08:30:00,67.42,MEDIUM,False,Rapid succession submission (<15 min gap); Unusual daily transaction velocity (5+ in 1 day); Logged on a weekend
